location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	places_code	places	keywords
116.519304,39.924192	朝阳北路101号朝阳大悦城1层	朝阳区	北京市	B0FFI2Q4NO	[]	喜茶(朝阳大悦城店)	北京市	010-85811099	餐饮服务;冷饮店;冷饮店	050700	116.519304	39.924192	110000	北京市	喜茶
116.454530,39.935205	三里屯路19号院三里屯太古里6号楼一层S6-11a	朝阳区	北京市	B0FFI10OU3	[]	喜茶(三里屯太古里店)	北京市	010-84185776	餐饮服务;糕饼店;糕饼店	050800	116.454530	39.935205	110000	北京市	喜茶
105.884313,29.392339	光彩大道547号	永川区	重庆市	B0FFI2OJAU	[]	喜茶	重庆市	[]	餐饮服务;餐饮相关场所;餐饮相关	050000	105.884313	29.392339	500000	重庆市	喜茶
105.607200,29.414847	昌元街道昌龙大道35号附15号	荣昌区	重庆市	B0FFI92CVW	[]	雪芙蓉喜茶	重庆市	18602318499	餐饮服务;餐饮相关场所;餐饮相关	050000	105.607200	29.414847	500000	重庆市	喜茶
106.242280,30.002030	合阳城街道义乌大道314号附2-92号	合川区	重庆市	B0FFIDBJM7	[]	又一喜茶	重庆市	17623308369	餐饮服务;餐饮相关场所;餐饮相关	050000	106.242280	30.002030	500000	重庆市	喜茶
106.050599,29.836635	中兴路260号附近	铜梁区	重庆市	B0FFIK2ZZ6	[]	壹喜茶	重庆市	[]	餐饮服务;冷饮店;冷饮店	050700	106.050599	29.836635	500000	重庆市	喜茶
106.457526,29.532885	凤天大道37号2-1	沙坪坝区	重庆市	B0FFIC0696	[]	御喜茶	重庆市	13622340473	餐饮服务;甜品店;甜品店	050900	106.457526	29.532885	500000	重庆市	喜茶
106.541176,29.579510	北城天街38号万汇中心二楼	江北区	重庆市	B0FFIA4Z95	[]	弘韵.喜创于茶(万汇中心店)	重庆市	023-67116672	餐饮服务;餐饮相关场所;餐饮相关	050000	106.541176	29.579510	500000	重庆市	喜茶
113.555916,22.207019	馬場海邊馬路北50米	花地玛堂区	澳门特别行政区	B0FFGK3IIP	[]	喜点茶餐馆	澳门特别行政区	[]	餐饮服务;快餐厅;茶餐厅	050305	113.555916	22.207019	820000	澳门特别行政区	喜茶
116.428759,23.256270	金祥路70号附近	潮南区	汕头市	B0FFIPPFXQ	[]	港座喜茶	广东省	[]	餐饮服务;冷饮店;冷饮店	050700	116.428759	23.256270	440000	广东省	喜茶
113.324664,23.132249	天河路天环广场B2层	天河区	广州市	B0FFIPL96J	[]	HEYTEA喜茶(天环广场店)	广东省	020-85201328	餐饮服务;冷饮店;冷饮店	050700	113.324664	23.132249	440000	广东省	喜茶
114.414988,23.104066	文昌一路华贸天地B1层	惠城区	惠州市	B0FFIOBCC2	[]	喜茶(惠州华贸店)	广东省	0752-2888670	餐饮服务;冷饮店;冷饮店	050700	114.414988	23.104066	440000	广东省	喜茶
113.112835,23.027405	佛山市兆祥路与祖庙路交口岭南站内	禅城区	佛山市	B0FFIOBC3A	[]	喜茶(岭南站店)	广东省	0757-29235423	餐饮服务;冷饮店;冷饮店	050700	113.112835	23.027405	440000	广东省	喜茶
113.887566,22.553497	壹方城	宝安区	深圳市	B0FFIKMGR9	[]	喜茶(壹方城)	广东省	0755-23003031	餐饮服务;冷饮店;冷饮店	050700	113.887566	22.553497	440000	广东省	喜茶
113.226290,23.404984	新华街紫薇路16号钻石豪庭D栋01商铺	花都区	广州市	B0FFIJOYC1	[]	HITEA喜茶(紫薇路店)	广东省	13928712347	餐饮服务;茶艺馆;茶艺馆	050600	113.226290	23.404984	440000	广东省	喜茶
113.330663,23.132637	万菱汇	天河区	广州市	B0FFIIJ1WG	[]	喜茶(万菱汇)	广东省	020-85200138	餐饮服务;冷饮店;冷饮店	050700	113.330663	23.132637	440000	广东省	喜茶
113.114765,23.012583	季华五路33号顺联国际首层110号(正门左侧)	禅城区	佛山市	B0FFIGA15O	[]	喜茶(顺联国际季华店)	广东省	0757-29235443	餐饮服务;餐饮相关场所;餐饮相关	050000	113.114765	23.012583	440000	广东省	喜茶
113.266820,23.172540	云城东路509号万达百货1层032铺(近东2门)	白云区	广州市	B0FFIG99OY	[]	喜茶(白云万达店)	广东省	020-85200318	餐饮服务;餐饮相关场所;餐饮相关	050000	113.266820	23.172540	440000	广东省	喜茶
113.324669,23.126360	黄埔大道西74号花城汇北区负一层	天河区	广州市	B0FFIG8RJK	[]	喜茶(花城汇北区店)	广东省	020-85200378	餐饮服务;餐饮相关场所;餐饮相关	050000	113.324669	23.126360	440000	广东省	喜茶
113.320709,23.135020	体育西路101号VT1011F层	天河区	广州市	B0FFIFP98R	[]	喜茶(VT101)	广东省	020-85200398	餐饮服务;冷饮店;冷饮店	050700	113.320709	23.135020	440000	广东省	喜茶
113.955921,22.541696	深南大道与沙河西路交汇处深圳万象天地1层SL187	南山区	深圳市	B0FFIEL5TR	[]	喜茶(深圳万象天地)	广东省	0755-86681153	餐饮服务;冷饮店;冷饮店	050700	113.955921	22.541696	440000	广东省	喜茶
